Acq. time (s)=	4
Accumulations=	3
Range=	Off
Autofocus=	Off
SWIFT=	Off
AutoExposure=	Off
Spike filter=	Multiple accum.
Delay time (s)=	0
Binning=	1
Readout mode=	Signal
DeNoise=	Standard
ICS correction=	On
Dark correction=	Off
Inst. Process=	On
Instrument=	LabRAM S3000
Detector=	Synapse
Objective=	x100
Grating=	1800
ND Filter=	25%
Laser (nm)=	632.81 
Spectro (cm-¹)=	520.984
Slit=	100.021
Hole=	1000.03
Microscope=	Principal
StageXY=	Märzhauser
StageZ=	Märzhauser
X (µm)=	0.1
Y (µm)=	-0.1
Z (µm)=	-2424.7
Project=	
Sample=	
Site=	
Title=	SOP_200nm_SPIS_p0.25_zscan
Remark=	-2414.70
Date=	17.06.2019 14:11
Operator=	
Acquired=	17.06.2019 14:11:36
Base:Sub=	17.06.2019 14:12:13
